Nr,CLASS,GENDER,AGE,HEIGHT,SPORTS,TV,COMPUTER,SUBJECT,ALLOWANCE,WORK,PROVINCE,BREAKFAST
96,1,Girl,12,168,0,21,9,History,10,0,23,Yes
97,1,Boy,12,152,6,5,0,Sports,6,0,23,Yes
98,1,Boy,12,178,1,10,4,Other,0,0,23,Yes
99,1,Boy,12,173,2,4,7,Biology,12,12,23,No
100,1,Girl,12,168,1,3,4,Computer Science,10,0,23,Yes
101,1,Girl,12,152,0,10,3,French language,10,0,23,Yes
102,1,Boy,13,145,6,8,8,English language,25,0,23,Yes
103,1,Girl,12,165,2,3,1,Music,5,0,23,Yes
104,1,Boy,13,155,0,14,17,Mathematics,30,0,23,Yes
105,1,Girl,12,155,0,8,3,Sports,0,0,23,Yes
106,1,Girl,12,155,4,8,3,English language,0,0,23,Brought something
107,1,Girl,13,153,3,5,1,Sports,25,0,23,Brought something
108,1,Girl,13,168,3,8,4,Sports,25,0,23,No
109,1,Girl,12,148,1,8,4,English language,7,0,23,No
110,1,Boy,13,152,9,8,10,History,100,25,23,Yes
111,1,Boy,13,169,1,50,10,Mathematics,150,350,23,Yes
112,1,Boy,12,153,2,5,14,Computer Science,10,250,23,No
113,1,Girl,12,155,2,0,0,Computer Science,0,0,23,Yes
114,1,Girl,12,165,0,9,0,Nursing,10,0,23,Yes
115,1,Boy,13,163,3,6,1,Sports,15,60,23,Brought something
116,1,Boy,13,142,10,7,1,Engineering,25,22,23,Yes
117,1,Boy,12,154,12,50,20,Mathematics,50,20,23,Yes
118,1,Boy,13,165,10,32,39,English language,0,0,23,Brought something
119,1,Girl,12,155,3,3,2,History,10,0,23,Yes
120,1,Girl,12,155,3,3,5,Engineering,8,65,23,Yes
121,1,Boy,12,153,15,18,8,Biology,0,0,23,Yes
122,1,Girl,12,169,2,7,4,Mathematics,10,0,23,Brought something
123,2,Boy,13,171,9,14,7,Physics & Chemisty,7,0,23,Yes
124,2,Boy,13,163,6,13,18,Engineering,5,10,23,Brought something
125,2,Boy,13,172,5,13,17,Biology,10,0,23,Yes
126,2,Boy,14,170,4,10,7,History,10,0,23,Yes
127,2,Girl,13,160,7,5,3,Dance,5,0,23,Yes
128,2,Girl,13,160,7,4,1,Dance,10,0,23,Brought something
129,2,Boy,13,163,6,20,3,Engineering,15,0,23,Brought something
130,2,Boy,13,170,7,30,1,Sports,0,0,23,Yes
131,2,Boy,13,171,5,2,1,Computer Science,10,0,23,Yes
132,2,Boy,13,169,12,35,8,Mathematics,15,0,23,Yes
133,2,Boy,13,168,6,28,7,Mathematics,5,10,23,Yes
134,2,Girl,13,165,8,3,4,Dance,6,0,23,Yes
135,2,Girl,12,160,8,8,4,Dance,8,0,23,Yes
136,2,Girl,13,159,2,7,4,Nursing,9,0,23,Yes
137,2,Boy,13,160,6,15,10,English language,13,0,23,Yes
138,2,Boy,13,163,5,10,14,History,30,0,23,Yes
139,2,Boy,13,158,4,8,3,Physics & Chemisty,25,0,23,Yes
140,2,Boy,13,167,0,2,16,History,50,0,23,Yes
141,2,Boy,13,162,4,1,1,Engineering,6,0,23,Yes
142,2,Girl,13,175,1,0,1,Physics & Chemisty,3,0,23,Yes
143,2,Girl,13,155,0,12,3,Biology,10,0,23,Yes
144,2,Boy,13,170,14,6,2,Sports,30,10,23,Yes
145,2,Boy,13,165,8,1,2,Sports,8,0,23,Yes
146,2,Girl,13,175,5,10,12,Sports,8,0,23,No
