Nr,CLASS,GENDER,AGE,HEIGHT,SPORTS,TV,COMPUTER,SUBJECT,ALLOWANCE,WORK,PROVINCE,BREAKFAST
5381,1,Girl,13,160,1,12,4,Sports,3,0,27,Yes
5382,1,Girl,12,165,3,20,5,Biology,15,0,27,Yes
5383,1,Girl,12,154,3,21,7,Nursing,5,0,27,Yes
5384,1,Boy,12,150,7,19,7,Sports,8,0,27,Yes
5385,1,Boy,12,144,7,4,0,Biology,9,5,27,Yes
5386,1,Boy,12,176,7,20,11,Sports,13,0,27,Yes
5387,1,Girl,12,157,2,12,2,History,20,0,27,Yes
5388,1,Boy,13,160,2,10,20,Other,10,12,27,Yes
5389,1,Girl,13,175,2,28,3,Other,10,0,27,Yes
5390,1,Girl,12,154,1,22,2,French language,6,0,27,Yes
5391,1,Girl,12,162,2,9,1,Computer Science,5,0,27,Yes
5392,1,Girl,12,150,1,20,4,French language,7,0,27,Yes
5393,1,Boy,12,175,3,20,5,Mathematics,10,10,27,Yes
5394,1,Girl,12,165,10,8,3,Computer Science,8,15,27,Yes
5395,1,Girl,12,157,5,5,0,Engineering,15,15,27,Yes
5396,1,Girl,12,163,3,15,0,History,10,0,27,No
5397,1,Girl,12,165,2,9,1,Computer Science,10,0,27,Yes
5398,1,Boy,13,158,5,9,11,Computer Science,10,9,27,Yes
5399,1,Girl,12,154,1,8,1,French language,10,10,27,Yes
5400,1,Boy,12,160,4,15,5,Sports,10,12,27,Yes
5401,1,Boy,12,155,7,17,1,Sports,10,25,27,Yes
5402,1,Boy,12,158,9,20,1,Sports,5,12,27,Yes
5403,1,Girl,12,160,3,20,3,Other,10,0,27,Yes
5404,1,Boy,12,158,4,4,1,Biology,10,0,27,Yes
5405,1,Girl,12,154,1,9,1,Computer Science,10,15,27,Yes
5406,1,Girl,12,163,2,10,1,Computer Science,10,0,27,Yes
5407,1,Boy,13,160,1,4,8,Sports,5,7,27,Yes
5408,1,Boy,13,160,1,9,7,Sports,5,10,27,Yes
5409,1,Boy,12,159,7,12,6,Sports,8,0,27,Yes
5410,1,Boy,13,158,5,8,0,Sports,8,0,27,Yes
5411,1,Girl,12,164,9,10,0,French language,20,0,27,Yes
5412,1,Boy,12,160,2,2,3,Sports,10,10,27,Yes
5413,1,Boy,12,152,21,30,0,Mathematics,10,0,27,Yes
5414,2,Boy,12,148,29,54,64,Economics,100,250,27,Yes
5415,2,Girl,13,171,11,36,4,Geography,10,0,27,Brought something
5416,2,Girl,13,158,1,40,25,Music,10,10,27,Brought something
5417,2,Girl,13,170,2,10,5,History,10,30,27,Yes
5418,2,Girl,13,170,4,20,15,French language,25,15,27,Yes
5419,2,Girl,13,165,4,10,8,English language,10,8,27,No
5420,2,Girl,13,178,0,9,10,Mathematics,10,25,27,Yes
5421,2,Boy,13,178,6,10,20,Sports,5,25,27,Yes
5422,2,Boy,12,173,6,25,15,Sports,7,15,27,Yes
5423,2,Boy,13,174,1,14,6,Sports,5,0,27,Yes
5424,2,Boy,13,169,6,7,5,English language,7,0,27,Yes
5425,2,Boy,13,164,10,3,21,Art,5,0,27,Yes
5426,2,Girl,13,171,2,25,3,Sports,13,0,27,Yes
5427,2,Boy,13,178,9,17,28,Physics & Chemisty,50,100,27,Yes
5428,2,Boy,13,166,1,21,35,Sports,4,12,27,Yes
5429,2,Boy,15,160,9,9,9,German,250,44,27,No
5430,2,Boy,13,160,10,25,9,History,5,0,27,Yes
5431,2,Girl,13,170,3,12,7,Engineering,3,15,27,Yes
5432,2,Girl,13,155,0,14,3,Sports,5,10,27,Yes
5433,2,Boy,13,167,1,7,3,Sports,2,0,27,Yes
5434,2,Boy,14,164,5,16,20,Physics & Chemisty,15,0,27,Yes
5435,2,Boy,13,160,5,16,18,Physics & Chemisty,10,0,27,Yes
5436,2,Girl,13,167,5,18,2,French language,10,0,27,Yes
5437,2,Girl,13,166,2,10,2,French language,20,0,27,Yes
5438,2,Girl,13,165,10,6,0,Music,20,0,27,Brought something
5439,2,Girl,13,157,4,5,0,Music,19,0,27,Yes
5440,2,Girl,13,165,3,14,2,Art,10,15,27,Brought something
5441,2,Girl,13,170,5,7,3,Sports,20,10,27,Yes
5442,2,Girl,14,166,7,19,4,Engineering,8,7,27,Yes
5443,2,Girl,13,162,7,35,14,Art,6,0,27,Yes
5444,2,Boy,13,172,4,30,15,Sports,10,90,27,Yes
5445,2,Girl,13,171,3,14,14,Sports,0,0,27,Yes
5446,2,Boy,13,165,10,6,7,Sports,5,0,27,Yes
5447,2,Girl,13,156,7,14,7,Art,15,12,27,Brought something
5448,2,Boy,13,157,9,8,4,Sports,13,0,27,Yes
5449,2,Girl,13,165,5,10,10,Other,7,10,27,Yes
5450,2,Boy,13,169,3,28,4,Engineering,30,0,27,Brought something
5451,2,Boy,13,170,4,10,5,Physics & Chemisty,5,0,27,Yes
5452,2,Girl,13,168,3,8,2,Physics & Chemisty,10,0,27,Yes
5453,2,Girl,12,166,7,15,7,French language,10,5,27,Yes
5454,2,Boy,14,165,8,5,7,Sports,11,0,27,Yes
5455,2,Boy,13,177,9,6,3,Sports,8,0,27,Yes
5456,2,Boy,15,175,5,10,10,Sports,10,32,27,Yes
5457,2,Girl,13,172,5,7,3,French language,5,5,27,Yes
5458,2,Boy,13,178,9,8,6,Biology,7,0,27,Yes
5459,2,Boy,14,173,5,10,4,Sports,13,0,27,Yes
5460,2,Boy,13,180,7,10,7,History,10,0,27,Yes
5461,2,Boy,13,180,6,12,6,Physics & Chemisty,3,7,27,Yes
5462,2,Boy,13,170,10,10,8,Biology,5,0,27,Yes
5463,2,Boy,13,158,7,6,7,Sports,0,0,27,Yes
5464,2,Girl,13,164,3,14,14,English language,0,0,27,Yes
5465,2,Boy,14,178,9,15,17,Music,30,5,27,Yes
5466,2,Boy,13,155,4,30,35,Computer Science,18,0,27,Yes
5467,2,Girl,13,161,10,6,1,Music,9,15,27,Yes
5468,2,Girl,13,160,0,8,1,Computer Science,4,0,27,Yes
5469,2,Boy,13,167,5,35,30,Nursing,15,0,27,Yes
5470,2,Girl,13,165,2,7,3,Music,15,0,27,Yes
5471,2,Girl,13,160,15,14,1,Art,5,0,27,Yes
5472,2,Boy,13,156,3,35,4,Nursing,15,0,27,Yes
5473,2,Boy,13,155,5,20,8,Sports,5,25,27,Yes
5474,2,Boy,13,165,4,8,5,English language,8,0,27,Yes
5475,2,Girl,13,165,3,21,2,Engineering,13,0,27,Yes
5476,2,Girl,14,157,0,30,0,Sports,10,0,27,Brought something
5477,2,Girl,13,155,0,40,10,Other,13,0,27,Yes
5478,2,Girl,12,164,1,28,2,Other,5,10,27,Brought something
5479,2,Boy,13,173,2,40,4,Art,6,5,27,No
5480,2,Girl,13,164,5,30,2,French language,8,0,27,Yes
5481,2,Girl,13,160,5,25,3,Other,6,0,27,Yes
5482,2,Boy,15,178,6,45,45,Sports,10,25,27,Yes
5483,2,Boy,13,161,0,12,4,Music,10,0,27,Yes
5484,2,Girl,13,168,0,26,1,Other,5,8,27,Yes
5485,2,Girl,13,155,2,42,4,German,10,0,27,Yes
5486,2,Girl,13,157,5,13,1,Computer Science,8,0,27,Yes
5487,2,Boy,13,160,5,44,2,Biology,14,0,27,Yes
5488,2,Girl,13,165,1,27,1,Other,8,40,27,Brought something
5489,2,Girl,13,172,0,28,4,History,5,8,27,Yes
5490,2,Girl,13,170,0,14,0,Art,0,8,27,Yes
5491,2,Boy,14,164,3,35,4,Nursing,10,35,27,Yes
5492,2,Girl,13,162,3,25,0,Other,6,0,27,Yes
5493,2,Boy,13,164,7,24,18,Engineering,13,0,27,Yes
5494,2,Girl,13,167,1,28,2,Biology,10,0,27,Yes
5495,2,Boy,13,177,4,7,7,Sports,7,0,27,Yes
5496,2,Girl,13,172,2,6,1,Sports,10,0,27,Yes
5497,2,Girl,13,162,3,15,3,Nursing,6,0,27,Yes
5498,2,Boy,13,172,3,52,10,Engineering,10,60,27,Yes
5499,2,Girl,13,168,2,41,6,Sports,0,0,27,Yes
5500,2,Boy,15,174,0,15,0,Engineering,35,0,27,Yes
5501,2,Girl,13,171,0,12,3,Sports,10,0,27,Yes
5502,2,Girl,13,169,0,7,7,Art,8,0,27,Brought something
5503,2,Girl,13,174,4,20,1,Music,25,0,27,No
5504,2,Girl,12,154,21,7,0,Music,6,0,27,Yes
5505,2,Boy,14,161,2,40,10,Nursing,15,25,27,Yes
5506,2,Boy,13,164,3,28,14,Sports,5,25,27,Yes
5507,2,Boy,13,160,1,28,12,Engineering,3,0,27,Yes
5508,2,Boy,13,151,5,30,15,English language,13,0,27,Yes
5509,2,Boy,13,186,2,35,4,Other,20,0,27,Yes
5510,2,Girl,13,170,1,11,0,French language,7,0,27,Yes
5511,2,Boy,14,169,5,14,0,Engineering,10,0,27,Yes
5512,2,Girl,13,164,2,10,6,Other,8,0,27,Yes
5513,2,Boy,13,166,6,21,15,Other,10,0,27,Yes
5514,2,Girl,13,165,1,5,1,Nursing,6,10,27,Yes
5515,2,Boy,14,168,5,20,8,Sports,15,8,27,Yes
5516,2,Girl,13,154,0,15,5,Sports,10,0,27,Yes
5517,2,Girl,13,169,5,10,15,Sports,10,16,27,Yes
5518,2,Boy,13,166,4,9,7,Engineering,12,0,27,Yes
5519,2,Girl,13,170,2,6,0,Nursing,12,10,27,Yes
5520,2,Boy,13,182,2,56,3,Music,0,25,27,Yes
5521,2,Girl,13,160,4,8,0,Nursing,6,0,27,Yes
5522,2,Girl,13,168,0,15,2,Sports,8,5,27,No
5523,2,Girl,13,155,40,4,2,Sports,8,15,27,Yes
5524,2,Boy,13,156,5,15,20,Physics & Chemisty,10,0,27,Yes
5525,2,Girl,13,156,0,12,1,French language,10,0,27,Yes
5526,2,Girl,13,173,0,40,8,Sports,5,0,27,Yes
5527,2,Boy,13,168,11,22,1,Sports,10,0,27,Yes
5528,2,Boy,13,167,8,20,1,Sports,10,0,27,Yes
5529,2,Girl,15,170,4,12,1,Economics,10,0,27,No
5530,2,Girl,14,179,4,10,15,Economics,15,25,27,No
5531,2,Boy,14,158,20,46,53,Sports,45,0,27,No
5532,2,Boy,13,162,7,32,40,Sports,10,40,27,Yes
5533,2,Boy,13,164,4,20,21,Sports,10,0,27,Yes
5534,2,Boy,13,176,6,18,14,Sports,10,0,27,Yes
5535,2,Girl,13,173,4,48,10,Computer Science,15,0,27,Yes
5536,2,Girl,13,175,0,45,6,Music,40,22,27,No
5537,2,Boy,13,145,4,40,7,Physics & Chemisty,5,20,27,Yes
5538,2,Boy,13,177,5,21,9,German,13,0,27,Yes
5539,2,Boy,14,175,8,14,6,Sports,20,80,27,Yes
5540,2,Boy,13,171,14,17,6,German,10,25,27,Brought something
5541,2,Boy,14,180,0,2,50,Economics,13,0,27,Yes
5542,2,Girl,13,170,6,16,0,Sports,10,0,27,Yes
5543,2,Girl,13,164,4,16,0,Sports,10,0,27,Brought something
5544,2,Girl,14,167,0,26,4,German,10,25,27,No
5545,2,Girl,14,171,3,28,0,Art,12,0,27,No
5546,2,Girl,13,168,4,32,0,Dutch language,13,0,27,Yes
5547,2,Boy,13,182,0,4,6,Other,10,5,27,Yes
5548,2,Boy,13,184,2,3,5,Sports,30,0,27,Brought something
5549,2,Boy,13,168,5,59,39,German,25,350,27,No
5550,2,Boy,14,178,8,16,10,German,5,0,27,Yes
5551,2,Girl,13,154,1,24,15,Music,7,0,27,Yes
5552,2,Boy,13,165,0,30,1,Other,13,0,27,Yes
5553,2,Girl,14,170,1,21,0,Economics,5,0,27,Yes
5554,2,Girl,14,149,0,15,0,French language,0,0,27,No
5555,2,Girl,13,163,9,5,0,Economics,0,0,27,No
5556,2,Girl,13,157,3,20,0,Sports,5,15,27,Yes
5557,2,Girl,13,172,5,21,3,Sports,8,65,27,Yes
5558,2,Girl,13,164,1,28,4,English language,13,7,27,Yes
5559,2,Girl,13,150,0,20,3,English language,0,0,27,Brought something
5560,2,Girl,13,160,4,2,0,Sports,5,0,27,Yes
5561,2,Girl,14,150,5,21,4,Sports,10,0,27,Brought something
5562,2,Girl,14,165,0,25,3,German,13,0,27,Brought something
5563,2,Girl,13,168,4,5,1,Sports,5,0,27,Yes
5564,2,Girl,13,158,2,10,1,Sports,10,0,27,Yes
5565,2,Boy,13,177,4,18,1,Physics & Chemisty,10,0,27,Yes
5566,2,Boy,14,180,2,30,14,Economics,0,150,27,Brought something
5567,2,Boy,14,156,4,35,7,Sports,20,0,27,Yes
5568,2,Boy,13,178,10,12,1,French language,15,0,27,Yes
5569,2,Boy,13,178,4,5,0,History,6,20,27,Yes
5570,2,Boy,14,197,10,7,5,Other,60,40,27,Yes
5571,2,Boy,13,165,4,3,2,Sports,8,75,27,Yes
5572,2,Boy,14,169,6,15,5,Sports,8,0,27,Yes
5573,2,Boy,13,166,4,20,2,Sports,10,0,27,Yes
5574,2,Boy,14,170,6,6,2,Other,15,0,27,Brought something
5575,2,Boy,13,157,4,10,2,Sports,15,16,27,Yes
5576,2,Boy,13,163,11,18,21,Sports,6,0,27,Yes
5577,2,Boy,13,170,7,22,5,Sports,8,35,27,Yes
5578,2,Boy,13,156,8,35,2,Music,5,20,27,Yes
5579,2,Boy,13,170,7,10,15,Sports,13,0,27,Yes
5580,2,Boy,14,172,10,20,15,Sports,10,0,27,Yes
5581,2,Girl,13,150,0,30,14,Nursing,20,0,27,No
5582,2,Girl,14,164,0,29,0,Nursing,25,0,27,Yes
5583,2,Girl,13,153,2,7,5,Nursing,0,0,27,Yes
5584,2,Girl,13,168,28,10,1,Physics & Chemisty,10,0,27,Brought something
5585,2,Boy,13,187,0,0,0,Sports,1,89,27,Yes
5586,2,Boy,13,175,4,10,2,Sports,8,0,27,Yes
5587,2,Girl,13,165,2,5,1,German,10,20,27,Yes
5588,2,Girl,13,164,2,8,0,Nursing,12,0,27,Brought something
5589,2,Boy,14,170,5,10,5,Other,10,0,27,Yes
5590,2,Boy,14,168,6,58,20,Computer Science,25,200,27,Yes
5591,2,Boy,13,168,4,58,24,Computer Science,25,0,27,Yes
5592,2,Girl,13,165,7,18,13,Music,20,50,27,Yes
5593,2,Boy,13,170,3,14,10,Sports,10,0,27,Yes
5594,2,Boy,13,169,3,12,5,Sports,5,0,27,Yes
5595,2,Girl,14,158,0,10,1,French language,10,12,27,Brought something
5596,2,Girl,13,170,0,15,3,German,10,15,27,Yes
5597,2,Girl,13,147,9,9,2,German,10,0,27,Brought something
5598,2,Girl,13,162,0,10,1,Nursing,10,0,27,Brought something
5599,2,Girl,13,165,3,5,1,French language,10,30,27,No
5600,2,Boy,13,154,12,22,3,Mathematics,15,0,27,Yes
5601,2,Boy,13,169,5,23,5,Mathematics,15,10,27,Yes
5602,2,Boy,13,144,4,10,3,Sports,25,0,27,Brought something
5603,1,Boy,12,164,15,25,10,Mathematics,5,0,27,Yes
5604,1,Boy,13,162,8,35,16,Music,15,15,27,Yes
5605,1,Girl,13,159,11,20,10,Mathematics,25,30,27,Yes
5606,1,Girl,12,163,0,20,14,Mathematics,5,0,27,Yes
5607,1,Girl,12,160,0,28,0,Art,8,0,27,Yes
5608,1,Girl,12,160,4,18,5,Art,5,15,27,Yes
5609,1,Girl,13,158,0,14,4,Art,12,15,27,Yes
5610,1,Girl,13,159,12,20,10,Music,25,30,27,Yes
5611,1,Boy,12,168,10,29,5,English language,15,0,27,Brought something
5612,1,Girl,12,152,15,14,3,Mathematics,3,10,27,Yes
5613,1,Girl,13,168,10,30,1,Sports,25,25,27,Yes
5614,1,Girl,12,164,2,1,0,Mathematics,4,0,27,Yes
5615,1,Boy,12,154,19,25,25,Mathematics,5,30,27,Yes
5616,1,Girl,12,152,8,14,18,Art,25,0,27,Yes
5617,1,Boy,12,158,4,20,11,Music,15,30,27,No
5618,1,Boy,12,162,15,70,8,History,25,50,27,Yes
5619,1,Girl,12,162,7,25,10,Music,8,15,27,Yes
5620,1,Girl,12,160,5,28,2,Music,10,0,27,Brought something
5621,1,Girl,12,156,7,3,0,Music,10,10,27,Yes
5622,1,Boy,12,165,17,21,7,Mathematics,8,25,27,Yes
5623,1,Girl,13,170,1,15,0,Mathematics,18,0,27,No
5624,1,Boy,12,161,15,25,10,Sports,10,15,27,No
5625,1,Boy,12,152,16,21,5,Mathematics,5,40,27,Yes
5626,1,Girl,12,160,18,26,0,Art,5,8,27,Yes
5627,1,Girl,12,159,3,28,2,Music,0,30,27,Brought something
5628,1,Boy,13,163,10,35,5,Music,20,28,27,Yes
5629,1,Girl,12,167,7,17,0,Sports,0,30,27,Yes
5630,1,Girl,12,158,13,16,3,Music,10,0,27,Yes
5631,1,Girl,12,152,4,31,1,Art,30,0,27,Yes
5632,2,Girl,14,163,6,70,3,Music,0,0,27,Yes
5633,2,Girl,14,166,7,30,5,Music,0,9,27,Yes
5634,2,Boy,14,170,13,10,8,Sports,10,60,27,Yes
5635,2,Girl,13,164,5,30,2,Music,50,50,27,Yes
5636,2,Boy,13,166,14,21,14,Engineering,10,0,27,Yes
5637,2,Boy,13,170,7,5,10,Mathematics,20,20,27,Yes
5638,2,Boy,13,160,2,35,2,Mathematics,0,0,27,No
5639,2,Boy,14,170,2,10,2,Engineering,7,100,27,Yes
5640,2,Girl,13,168,0,35,1,Economics,10,240,27,No
5641,2,Girl,13,174,5,3,2,History,0,35,27,Yes
5642,2,Girl,14,156,27,8,1,Art,15,0,27,Yes
5643,2,Boy,14,168,4,9,10,Art,40,500,27,No
5644,2,Girl,13,174,30,20,0,Music,0,50,27,Yes
5645,2,Boy,13,177,8,40,15,Economics,6,50,27,Yes
5646,2,Boy,13,160,18,15,10,History,5,0,27,Yes
5647,2,Boy,13,156,10,10,6,Sports,10,0,27,Yes
5648,2,Boy,13,162,10,15,12,History,10,15,27,Yes
5649,2,Boy,15,182,3,15,25,Music,9,32,27,Yes
5650,2,Girl,13,158,3,7,2,Sports,9,0,27,Yes
5651,2,Boy,14,154,0,17,15,Sports,20,200,27,Yes
5652,2,Boy,14,175,10,42,4,History,50,0,27,No
5653,2,Girl,14,166,0,50,0,Economics,25,0,27,No
5654,2,Boy,13,167,3,19,24,History,17,0,27,No
5655,2,Girl,13,169,2,8,2,Economics,10,0,27,Yes
5656,2,Boy,13,178,4,20,0,Music,5,0,27,Yes
5657,2,Boy,13,163,8,21,8,Physics & Chemisty,10,0,27,Yes
5658,2,Girl,13,158,5,17,3,Geography,15,50,27,Yes
5659,2,Boy,12,170,10,20,6,Engineering,0,0,27,Yes
5660,1,Boy,12,172,6,23,5,Mathematics,15,50,27,Yes
5661,1,Girl,12,151,7,14,0,Dutch language,15,25,27,Brought something
5662,1,Boy,12,168,6,8,4,Sports,7,0,27,Yes
5663,1,Girl,16,170,5,13,15,Sports,185,0,27,Yes
5664,1,Boy,13,159,7,13,7,Biology,25,0,27,Yes
5665,1,Girl,12,175,2,3,2,Drama,15,0,27,Yes
5666,1,Boy,12,169,4,21,11,Biology,30,0,27,Yes
5667,1,Girl,12,147,5,2,2,Sports,6,0,27,Yes
5668,1,Boy,10,175,9,10,10,Music,100,30,27,Yes
5669,1,Girl,12,155,2,5,3,Biology,8,0,27,Yes
5670,1,Girl,12,175,5,14,4,Biology,13,0,27,Yes
5671,1,Girl,12,157,10,0,0,Sports,0,0,27,Yes
5672,1,Girl,12,176,3,8,2,Drama,13,5,27,Yes
5673,1,Boy,13,162,6,16,10,Sports,3,0,27,Yes
5674,1,Girl,12,165,4,3,1,Drama,10,0,27,Yes
5675,1,Boy,12,164,4,4,3,Sports,15,0,27,Yes
5676,1,Boy,13,162,5,8,6,Drama,3,0,27,Yes
5677,1,Girl,12,161,1,12,5,Drama,15,12,27,Yes
5678,1,Girl,12,158,4,8,5,Sports,4,0,27,Yes
5679,1,Boy,12,176,5,10,10,History,8,0,27,Yes
5680,1,Boy,12,165,6,8,2,Mathematics,6,24,27,Yes
5681,1,Boy,12,165,7,15,0,Sports,12,1,27,Yes
5682,1,Boy,12,150,2,15,10,Biology,5,0,27,Yes
5683,1,Boy,12,167,6,15,7,Biology,20,0,27,Yes
5684,1,Girl,12,170,2,6,0,Drama,5,8,27,Yes
5685,1,Girl,12,154,2,2,1,Engineering,10,0,27,Yes
5686,1,Girl,12,170,2,2,1,Sports,10,10,27,Yes
5687,1,Boy,18,195,0,24,48,Music,25,150,27,No
5688,1,Girl,16,175,5,15,10,French language,10,60,27,Brought something
5689,1,Boy,12,140,1,20,25,History,0,5,27,No
5690,1,Boy,15,170,5,10,5,Biology,15,25,27,Yes
5691,1,Girl,16,180,30,1,1,Sports,15,80,27,Yes
5692,1,Girl,12,164,4,21,4,Nursing,3,0,28,Yes
5693,1,Boy,12,145,3,15,2,History,15,0,28,Yes
5694,1,Boy,12,155,3,9,2,Engineering,5,0,28,Yes
5695,1,Girl,12,158,3,30,4,Nursing,6,16,28,Yes
5696,1,Boy,12,170,14,14,1,Sports,8,0,28,No
5697,1,Boy,12,167,3,18,3,Computer Science,6,0,28,Yes
5698,1,Girl,13,157,2,24,2,Other,2,0,28,Yes
5699,1,Boy,12,163,4,10,15,Engineering,60,40,28,Yes
5700,1,Boy,12,166,9,5,5,History,6,0,28,Yes
5701,1,Boy,12,164,1,10,2,Dutch language,7,0,28,Yes
5702,1,Boy,13,175,8,10,7,Mathematics,5,0,28,Yes
5703,1,Girl,12,157,4,30,3,History,7,0,28,No
5704,1,Boy,12,170,6,10,1,Engineering,5,20,28,Yes
5705,1,Girl,12,153,3,8,3,Sports,6,0,28,Yes
5706,1,Girl,11,163,3,20,4,Sports,8,0,28,Yes
5707,1,Boy,12,168,13,8,1,Sports,4,0,28,Yes
5708,1,Girl,12,160,7,40,3,Music,40,0,28,Brought something
5709,1,Girl,12,167,3,22,2,Nursing,5,0,28,Yes
5710,1,Boy,12,150,15,35,0,Mathematics,8,75,28,Yes
5711,1,Girl,12,160,10,8,3,Sports,7,0,28,Yes
5712,1,Girl,11,152,3,25,15,Mathematics,5,0,28,Yes
5713,1,Boy,12,160,3,14,2,Music,6,0,28,Yes
5714,1,Girl,13,168,3,8,8,Engineering,10,0,28,Yes
5715,1,Boy,12,164,0,7,7,Sports,20,0,28,No
5716,1,Boy,12,163,2,21,1,Mathematics,15,0,28,Yes
5717,1,Girl,12,160,3,31,2,Nursing,3,11,28,Yes
5718,1,Boy,12,156,3,21,3,Engineering,15,0,28,Yes
5719,1,Boy,12,153,4,20,1,History,4,0,28,Yes
5720,1,Boy,12,166,5,3,1,English language,41,15,28,Yes
5721,1,Girl,12,162,2,14,7,Music,4,0,28,Yes
5722,1,Girl,12,165,4,15,4,Music,10,0,28,Yes
5723,1,Boy,12,187,6,10,0,Mathematics,12,5,28,Yes
5724,1,Girl,12,164,0,12,1,Music,5,13,28,Yes
5725,1,Girl,12,155,5,4,7,Sports,4,0,28,Yes
5726,1,Girl,12,165,1,15,4,Sports,10,0,28,Yes
5727,1,Girl,12,154,9,18,7,Mathematics,6,0,28,Yes
5728,1,Boy,12,160,3,49,1,Music,25,0,28,Yes
5729,1,Girl,12,150,0,2,0,Sports,3,0,28,Yes
5730,1,Girl,12,163,4,14,3,Sports,4,1,28,Yes
5731,1,Girl,12,147,3,14,3,Nursing,30,0,28,Yes
5732,1,Girl,11,171,2,14,14,Music,5,0,28,Yes
5733,1,Boy,12,161,4,24,2,Sports,8,0,28,Yes
5734,1,Boy,12,160,3,60,1,Engineering,20,0,28,Yes
5735,1,Girl,12,155,1,16,2,Music,5,0,28,Yes
5736,1,Girl,12,153,2,14,2,Music,5,0,28,Yes
5737,1,Boy,13,154,4,9,12,Sports,6,0,28,Yes
5738,1,Boy,12,189,2,12,1,Dutch language,4,0,28,Yes
5739,1,Boy,13,159,3,13,5,Mathematics,5,0,28,Yes
5740,1,Boy,12,149,2,8,9,Engineering,0,0,28,Yes
5741,1,Boy,12,155,11,24,2,Sports,20,0,28,Yes
5742,1,Girl,12,183,0,14,14,Mathematics,3,0,28,Yes
5743,1,Girl,12,159,3,10,2,Nursing,35,0,28,Yes
5744,1,Girl,12,165,4,3,2,Mathematics,9,0,28,Yes
5745,1,Boy,11,165,2,35,0,Other,5,0,28,Yes
5746,1,Girl,12,157,9,16,7,Mathematics,7,0,28,Yes
5747,1,Boy,12,156,6,6,3,Sports,5,0,28,Yes
5748,1,Girl,12,165,3,10,0,Music,6,0,28,Yes
5749,1,Boy,13,177,4,56,21,Engineering,0,0,28,Yes
5750,1,Girl,13,157,10,2,1,Geography,5,20,28,Yes
5751,1,Boy,12,174,4,7,6,Sports,7,0,28,Yes
5752,1,Boy,12,170,2,16,14,Sports,6,25,28,Yes
5753,1,Girl,12,167,1,18,6,English language,4,0,28,Yes
5754,1,Boy,12,171,1,3,7,Mathematics,6,0,28,Yes
5755,1,Girl,11,160,1,3,0,Mathematics,5,0,28,Yes
5756,1,Girl,12,152,10,10,3,French language,5,0,28,Yes
5757,1,Boy,12,156,6,15,7,Sports,6,0,28,Yes
5758,1,Boy,12,160,6,15,14,Sports,20,0,28,Yes
5759,1,Girl,12,160,4,5,1,Mathematics,5,0,28,Yes
5760,1,Boy,13,150,5,25,7,Music,3,0,28,Yes
5761,1,Boy,12,165,5,30,10,Mathematics,10,0,28,Yes
5762,1,Girl,12,162,5,6,0,Dutch language,6,0,28,Brought something
5763,1,Boy,12,166,3,14,16,Engineering,12,0,28,Yes
5764,1,Girl,12,162,1,14,6,Sports,3,0,28,Yes
5765,1,Boy,13,173,8,20,8,Sports,7,0,28,Yes
5766,1,Girl,12,162,3,9,2,Sports,10,20,28,Yes
5767,1,Boy,12,156,5,15,10,Sports,10,0,28,Yes
5768,1,Boy,12,158,6,3,6,French language,8,0,28,Yes
5769,1,Boy,12,165,2,20,8,Mathematics,10,0,28,Yes
5770,1,Girl,12,165,3,15,5,Engineering,5,0,28,Brought something
5771,1,Boy,12,151,0,21,11,Sports,5,0,28,Yes
5772,1,Girl,12,168,10,15,3,Geography,12,25,28,Yes
5773,1,Boy,12,170,3,20,15,Sports,13,20,28,Yes
5774,1,Boy,12,162,3,20,5,Music,10,0,28,Yes
5775,1,Boy,13,168,4,21,6,English language,10,0,28,Yes
5776,1,Girl,12,160,4,10,0,Music,8,0,28,Yes
5777,1,Boy,12,160,4,14,14,English language,15,0,28,No
5778,1,Girl,12,155,1,15,1,Mathematics,7,0,28,Yes
5779,1,Girl,12,161,5,15,0,Music,10,0,28,Yes
5780,1,Boy,12,150,6,14,7,Engineering,9,0,28,Yes
5781,1,Girl,12,145,4,15,3,Mathematics,8,0,28,Yes
5782,1,Boy,13,170,1,15,24,Nursing,70,0,28,Yes
5783,1,Girl,12,168,3,21,1,Engineering,8,0,28,Yes
5784,1,Boy,12,150,5,14,1,Nursing,8,0,28,Yes
5785,1,Girl,12,155,6,3,2,Sports,5,0,28,Yes
5786,1,Girl,13,155,0,9,1,History,0,0,28,Yes
5787,1,Girl,11,159,4,7,1,Mathematics,5,0,28,Yes
5788,1,Boy,12,155,5,30,14,Sports,6,0,28,Yes
5789,1,Girl,12,155,2,10,2,Mathematics,5,0,28,Yes
5790,1,Girl,12,165,5,10,1,Mathematics,3,0,28,Yes
5791,1,Girl,11,165,4,10,2,Mathematics,6,0,28,Yes
5792,1,Girl,12,168,0,21,0,Engineering,8,0,28,Yes
5793,1,Boy,12,162,5,30,10,Sports,10,25,28,Brought something
5794,1,Girl,12,162,0,25,5,Other,8,0,28,Yes
5795,1,Girl,12,141,4,14,2,Other,10,0,28,Yes
5796,1,Boy,12,158,0,21,5,Engineering,6,29,28,Yes
5797,1,Girl,12,151,0,21,1,English language,15,0,28,Yes
5798,1,Girl,12,156,2,2,1,Engineering,5,0,28,Yes
5799,1,Boy,13,169,3,13,16,Sports,8,0,28,Brought something
5800,1,Girl,12,163,4,18,2,Dutch language,7,0,28,Yes
5801,1,Boy,12,165,3,14,16,Engineering,7,0,28,Yes
